order_id,F1_XGB,F1_BERT,F1_diff(BERT-XGB),True_size,XGB_pred_size,BERT_pred_size
2064796,0.2857142857142857,0.2857142857142857,0.0,1,6,6
3262103,0.8695652173913043,0.923076923076923,0.05351170568561869,12,11,14
3212487,1.0,1.0,0.0,5,5,5
2466241,0.8571428571428571,0.8571428571428571,0.0,6,8,8
3233559,0.4516129032258065,0.5,0.048387096774193505,8,23,24
2369300,0.846153846153846,0.846153846153846,0.0,11,15,15
3257468,0.25,0.2222222222222222,-0.02777777777777779,1,7,8
1982635,1.0,1.0,0.0,3,3,3
142237,0.6956521739130436,0.6399999999999999,-0.05565217391304367,8,15,17
907341,0.7272727272727273,0.6153846153846153,-0.11188811188811199,4,7,9
804237,0.7499999999999999,0.7499999999999999,0.0,12,20,20
2588960,0.7058823529411765,0.7837837837837839,0.07790143084260737,29,22,45
2398747,0.48484848484848486,0.45714285714285713,-0.027705627705627733,8,25,27
661623,0.21052631578947367,0.1904761904761905,-0.02005012531328318,2,17,19
1113107,0.9090909090909091,0.9090909090909091,0.0,15,18,18
245810,0.4,0.4,0.0,2,8,8
1840656,0.8235294117647058,0.8235294117647058,0.0,7,10,10
1849360,0.7499999999999999,0.7499999999999999,0.0,6,10,10
1241510,0.8,0.8,0.0,4,6,6
1751994,1.0,0.923076923076923,-0.07692307692307698,6,6,7
3241223,1.0,1.0,0.0,5,5,5
2261445,0.9411764705882353,0.9411764705882353,0.0,8,9,9
2440315,0.5454545454545454,0.5454545454545454,0.0,3,8,8
160435,0.8301886792452831,0.8301886792452831,0.0,22,31,31
304801,1.0,1.0,0.0,3,3,3
1272596,0.9333333333333333,0.967741935483871,0.03440860215053765,15,15,16
780086,0.2857142857142857,0.2857142857142857,0.0,2,12,12
340663,0.4166666666666667,0.37037037037037035,-0.046296296296296335,5,19,22
1721978,0.6666666666666666,0.6153846153846153,-0.05128205128205132,4,8,9
2418529,0.888888888888889,0.8,-0.0888888888888889,4,5,6
1618673,1.0,1.0,0.0,9,9,9
316858,1.0,1.0,0.0,1,1,1
1529240,1.0,1.0,0.0,2,2,2
1940114,0.8421052631578948,0.8,-0.04210526315789476,8,11,12
